device,mode,impl,launcher,variant,lanes,stack_policy,copy_policy,phys,nzstack,bcopy,threads,nz,nxp,nyp,land_pct,toolchain,gpu_arch,ms_min,ms_med,ns_per_col,it_outer,it_inner,kd_sum,regs,local_b,reps,nrun,host,git_hash,_file
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,26,0,40,25,64,64,0,flang 22.1.5,cc70,2.7442323975E+00,2.9439087026E+00,560.047428,4900,93699,8.2706422989E+03,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,26,0,40,25,64,64,0,ifx 2026.0.0,cc70,2.4043440819E+00,2.4148941040E+00,490.682466,4900,93699,8.2706422989E+03,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,31,0,40,30,64,64,0,flang 22.1.5,cc70,3.7376394030E+00,4.1057203547E+00,762.783552,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,31,0,40,30,64,64,0,ifx 2026.0.0,cc70,3.3138990402E+00,3.4870028496E+00,676.305927,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,51,0,40,50,64,64,0,flang 22.1.5,cc70,6.3163117506E+00,6.6977724084E+00,1289.043214,4900,99272,1.6897225677E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,51,0,40,50,64,64,0,ifx 2026.0.0,cc70,5.6426525116E+00,5.9056043625E+00,1151.561737,4900,99272,1.6897225677E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,76,0,40,75,64,64,0,flang 22.1.5,cc70,9.9590805941E+00,1.0063817154E+01,2032.465427,4900,99341,1.7354910659E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,fit,prod,faithful,76,0,40,75,64,64,0,ifx 2026.0.0,cc70,9.0070962906E+00,9.0358495712E+00,1838.182916,4900,99341,1.7354910659E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,10,473,297,0,ifx 2026.0.0,none,1.9664319356E+02,2.2786251704E+02,1354.879828,145197,299883,1.7667795128E+04,0,0,6,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,100,473,297,0,ifx 2026.0.0,none,1.0751597007E+04,1.0788641373E+04,74078.953037,145137,2935887,5.1127272001E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,25,473,297,0,ifx 2026.0.0,none,1.6461136341E+03,1.6546553771E+03,11341.791784,145137,2778428,2.4191559953E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,30,473,297,0,ifx 2026.0.0,none,2.2021849950E+03,2.2074940205E+03,15173.146717,145137,2866522,3.2998816625E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,50,473,297,0,ifx 2026.0.0,none,4.6172040304E+03,4.6295193036E+03,31812.728873,145137,2935578,4.9695304208E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,1,75,473,297,0,ifx 2026.0.0,none,7.7029763858E+03,7.7299102942E+03,53073.829456,145137,2936000,5.1066355936E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,10,473,297,0,ifx 2026.0.0,none,2.4594998941E+01,2.4931027339E+01,169.460571,145197,299883,1.7667795128E+04,0,0,41,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,100,473,297,0,ifx 2026.0.0,none,6.0005005201E+02,6.5822505951E+02,4134.369954,145137,2935887,5.1127272001E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,25,473,297,0,ifx 2026.0.0,none,7.3252149991E+01,7.9677233329E+01,504.710377,145137,2778428,2.4191559953E+05,0,0,13,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,30,473,297,0,ifx 2026.0.0,none,1.2274728503E+02,1.3556098938E+02,845.733927,145137,2866522,3.2998816625E+05,0,0,8,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,50,473,297,0,ifx 2026.0.0,none,2.7745097876E+02,2.7841645479E+02,1911.648847,145137,2935578,4.9695304208E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,full,faithful,128,0,40,75,473,297,0,ifx 2026.0.0,none,4.6540268262E+02,4.6574799220E+02,3206.643948,145137,2936000,5.1066355936E+05,0,0,3,3,Big-Chungus,4eef5e2,ks_min_Big-Chungus_20260804_065636.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,1,30,64,64,0,flang 22.1.5,cc70,7.1882307809E+01,7.1990858996E+01,14669.858737,4900,96753,1.1269504893E+04,0,0,5,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,1,30,64,64,0,ifx 2026.0.0,cc70,7.2971582413E+01,7.3170185089E+01,14892.159676,4900,96753,1.1269504893E+04,0,0,5,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,1,30,64,64,0,nvfortran,cc70,7.8088700000E+01,7.8118500000E+01,15936.469388,4900,96753,1.1269504893E+04,0,0,4,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,16,30,64,64,0,flang 22.1.5,cc70,6.3514959416E+00,6.4166840515E+00,1296.223662,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,16,30,64,64,0,ifx 2026.0.0,cc70,5.7776570320E+00,5.7785987854E+00,1179.113680,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,16,30,64,64,0,nvfortran,cc70,6.8804000000E+00,6.9502000000E+00,1404.163265,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,2,30,64,64,0,flang 22.1.5,cc70,3.8923700486E+01,3.8959461381E+01,7943.612344,4900,96753,1.1269504893E+04,0,0,8,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,2,30,64,64,0,ifx 2026.0.0,cc70,3.9635270834E+01,3.9668232203E+01,8088.830782,4900,96753,1.1269504893E+04,0,0,8,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,2,30,64,64,0,nvfortran,cc70,4.2367487500E+01,4.2580125000E+01,8646.426020,4900,96753,1.1269504893E+04,0,0,8,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,32,30,64,64,0,flang 22.1.5,cc70,5.1541285939E+00,5.1738487557E+00,1051.862978,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,32,30,64,64,0,ifx 2026.0.0,cc70,3.7437438965E+00,3.7446498871E+00,764.029367,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,32,30,64,64,0,nvfortran,cc70,5.3985000000E+00,5.4215450000E+00,1101.734694,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,4,30,64,64,0,flang 22.1.5,cc70,2.1204349926E+01,2.1229776259E+01,4327.418352,4900,96753,1.1269504893E+04,0,0,15,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,4,30,64,64,0,ifx 2026.0.0,cc70,2.1161397298E+01,2.1300268173E+01,4318.652510,4900,96753,1.1269504893E+04,0,0,15,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,4,30,64,64,0,nvfortran,cc70,2.3167214286E+01,2.3213992308E+01,4728.002916,4900,96753,1.1269504893E+04,0,0,13,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,10,64,64,0,flang 22.1.5,cc70,9.5450370573E-01,9.7157855053E-01,194.796675,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,10,64,64,0,ifx 2026.0.0,cc70,8.0274343491E-01,8.0339908600E-01,163.825191,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,100,64,64,0,flang 22.1.5,cc70,1.3596866850E+01,1.3647738949E+01,2774.870786,4900,99315,1.7375307995E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,100,64,64,0,ifx 2026.0.0,cc70,1.2469291687E+01,1.2910854816E+01,2544.753406,4900,99315,1.7375307995E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,25,64,64,0,flang 22.1.5,cc70,2.8825764544E+00,3.1362773036E+00,588.280909,4900,93699,8.2706422989E+03,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,25,64,64,0,ifx 2026.0.0,cc70,2.5397062302E+00,2.5472402573E+00,518.307394,4900,93699,8.2706422989E+03,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,30,64,64,0,flang 22.1.5,cc70,3.4839203581E+00,3.5419965978E+00,711.004155,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,30,64,64,0,ifx 2026.0.0,cc70,3.0099511147E+00,3.0729532242E+00,614.275738,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,30,64,64,0,nvfortran,cc70,3.6795500000E+00,4.0961500000E+00,750.928571,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,50,64,64,0,flang 22.1.5,cc70,6.5626689000E+00,6.6094187554E+00,1339.320184,4900,99272,1.6897225677E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,50,64,64,0,ifx 2026.0.0,cc70,5.8433413506E+00,7.3463916779E+00,1192.518643,4900,99272,1.6897225677E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,75,64,64,0,flang 22.1.5,cc70,1.0321391001E+01,1.0485046101E+01,2106.406327,4900,99341,1.7354910659E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,40,75,64,64,0,ifx 2026.0.0,cc70,8.8116526604E+00,9.8860502243E+00,1798.296461,4900,99341,1.7354910659E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,8,30,64,64,0,flang 22.1.5,cc70,1.1136224342E+01,1.1212607101E+01,2272.698845,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,8,30,64,64,0,ifx 2026.0.0,cc70,1.1102199554E+01,1.1178898811E+01,2265.755011,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_multicore,dc,solo,faithful,1,prod,prod,faithful,128,0,8,30,64,64,0,nvfortran,cc70,1.2153495000E+01,1.2241505000E+01,2480.305102,4900,96753,1.1269504893E+04,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_161137.csv
Broadwell,dc_serial,,,faithful,1,fit,prod,faithful,11,0,1,10,32,32,0,nvfortran,,1.9753559211E+00,1.9753559211E+00,1367.975015,1445,4160,2.2026715013E+02,,,152,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_serial,,,faithful,1,fit,prod,faithful,31,0,1,30,32,32,0,nvfortran,,2.2949850000E+01,2.2949850000E+01,15893.247922,1444,28493,3.4001410348E+03,,,14,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_053235.csv
Broadwell,dc_serial,,,faithful,1,prod,prod,faithful,128,0,1,10,32,32,0,nvfortran,,2.0624520000E+00,2.0624520000E+00,1428.290859,1445,4160,2.2026715013E+02,,,100,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_054401.csv
Broadwell,dc_serial,,,faithful,1,prod,prod,faithful,128,0,1,30,32,32,0,nvfortran,,2.3669823077E+01,2.3669823077E+01,16391.844236,1444,28493,3.4001410348E+03,,,13,1,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_054401.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,opt,faithful,31,1,1,30,64,64,0,nvfortran,cc70,7.6496000000E+01,7.6713500000E+01,15611.428571,4900,96753,1.1269504893E+04,0,0,4,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_162539.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,opt,faithful,76,1,1,75,64,64,0,nvfortran,cc70,2.7687566667E+02,2.7695266667E+02,56505.238096,4900,99341,1.7354910659E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_162539.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,101,0,1,100,64,64,0,flang 22.1.5,cc70,3.4752675596E+02,3.4756515936E+02,70923.827747,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,101,0,1,100,64,64,0,gfortran 16.1.0,cc70,3.5405150832E+02,3.5427766402E+02,72255.409861,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,101,0,1,100,64,64,0,ifx 2026.0.0,cc70,3.5605033239E+02,3.5653201739E+02,72663.333141,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,11,0,1,10,64,64,0,flang 22.1.5,cc70,6.9103315473E+00,6.9103937480E+00,1410.271744,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,11,0,1,10,64,64,0,gfortran 16.1.0,cc70,5.6017260533E+00,5.6086826953E+00,1143.209399,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,11,0,1,10,64,64,0,ifx 2026.0.0,cc70,5.7857513428E+00,5.7938933372E+00,1180.765580,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,26,0,1,25,64,64,0,flang 22.1.5,cc70,5.5190098006E+01,5.5415121683E+01,11263.285307,4900,93699,8.2706422989E+03,0,0,6,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,26,0,1,25,64,64,0,gfortran 16.1.0,cc70,5.3069408828E+01,5.3234420135E+01,10830.491598,4900,93699,8.2706422989E+03,0,0,6,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,26,0,1,25,64,64,0,ifx 2026.0.0,cc70,5.3833683332E+01,5.3977688154E+01,10986.465986,4900,93699,8.2706422989E+03,0,0,6,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,31,0,1,30,64,64,0,flang 22.1.5,cc70,7.2267162194E+01,7.2376319207E+01,14748.400448,4900,96753,1.1269504893E+04,0,0,5,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,31,0,1,30,64,64,0,gfortran 16.1.0,cc70,7.2348115779E+01,7.2452824004E+01,14764.921588,4900,96753,1.1269504893E+04,0,0,5,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,31,0,1,30,64,64,0,ifx 2026.0.0,cc70,7.2647619247E+01,7.2832202911E+01,14826.044744,4900,96753,1.1269504893E+04,0,0,5,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,51,0,1,50,64,64,0,flang 22.1.5,cc70,1.5159409097E+02,1.5164171369E+02,30937.569586,4900,99272,1.6897225677E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,51,0,1,50,64,64,0,gfortran 16.1.0,cc70,1.5129150303E+02,1.5169265936E+02,30875.816945,4900,99272,1.6897225677E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,51,0,1,50,64,64,0,ifx 2026.0.0,cc70,1.5366133054E+02,1.5366530418E+02,31359.455212,4900,99272,1.6897225677E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,76,0,1,75,64,64,0,flang 22.1.5,cc70,2.5069779499E+02,2.5108274965E+02,51162.815304,4900,99341,1.7354910659E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,76,0,1,75,64,64,0,gfortran 16.1.0,cc70,2.5395036962E+02,2.5439579769E+02,51826.606045,4900,99341,1.7354910659E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,fit,prod,faithful,76,0,1,75,64,64,0,ifx 2026.0.0,cc70,2.5576599439E+02,2.5592033068E+02,52197.141712,4900,99341,1.7354910659E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,10,64,64,0,flang 22.1.5,cc70,7.7717233449E+00,7.8566155047E+00,1586.065989,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,10,64,64,0,gfortran 16.1.0,cc70,5.6856914074E+00,5.7074188022E+00,1160.345185,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,10,64,64,0,ifx 2026.0.0,cc70,6.0752034187E+00,6.1002016068E+00,1239.837432,4902,11606,6.8205675711E+02,0,0,20,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,100,64,64,0,flang 22.1.5,cc70,3.4851968537E+02,3.4852450403E+02,71126.466402,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_173351.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,100,64,64,0,gfortran 16.1.0,cc70,3.5425783267E+02,3.5432686168E+02,72297.516871,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_171005.csv
Broadwell,dc_serial,dc,solo,faithful,1,prod,prod,faithful,128,0,1,100,64,64,0,ifx 2026.0.0,cc70,3.5768032074E+02,3.5772760709E+02,72995.983824,4900,99315,1.7375307995E+04,0,0,3,3,Big-Chungus,ad2cde0,ks_sweep_Big-Chungus_20260803_172017.csv
